author,citations,description,title,url
D Beyleveld,,"… Abstract: This chapter construes Kant’s contention that a categorical imperative is a … It is 
not concerned to defend either Kant’s or Gewirth’s argument for a categorical imperative, but to …",Transcendental Arguments for a Categorical Imperative as Arguments from Agential Self-Understanding,https://books.google.com/books?hl=en&lr=&id=-xh9DgAAQBAJ&oi=fnd&pg=PA141&dq=kant+categorical+imperative+&ots=ZAJP7wu-cb&sig=RsTtwrMaDYsFfz9-42Ko6O4t4aM
M Neumann,,"… there is a categorical imperative commanding respect for “… categorical imperative, but it is 
not a dictate of that imperative… apparent in Kant’s application of the categorical imperative to …",Did Kant respect persons?,https://link.springer.com/article/10.1023/A:1009619600489
C Perry,,"… acting out of pride or self-love (eg, desire to be remembered a certain way), this would 
constitute using a person as a mere means to an end, which Kant's Categorical Imperative forbids. …",Suicide fails to pass the categorical imperative,https://www.tandfonline.com/doi/full/10.1080/15265160701347510
A Montefiore,,"… It is this that Kant calls the Categorical Imperative, an imperative that applies at all times and 
in all places to everyone, irrespective of their own particular circumstances. … Kant has …",Kant and the categorical imperative,https://www.cambridge.org/core/journals/think/article/kant-and-the-categorical-imperative/2023B1BF783EF0FD97045E089C5E33FD
SJ Kerstein,,"… reading of Kant’s derivation of one version of the Categorical Imperative: … Categorical 
Imperative, the Formula of Humanity, a principle widely considered to be the most attractive Kantian …",Kant's search for the supreme principle of morality,https://books.google.com/books?hl=en&lr=&id=3FRaBcldaNgC&oi=fnd&pg=PP1&dq=kant+categorical+imperative+&ots=m7cSo-Zc5l&sig=n8n83LSN_XeCSN8S_oTRtDEBPMM
HF Klemme,,"… in the Groundwork, Kant will not prove that the categorical imperative is the highest principle 
of … In the Critique of Pure Reason, Kant has established that reason itself must be justified in …",Is the Categorical Imperative the Highest Principle of Both Pure Practical and Theoretical Reason?,https://www.cambridge.org/core/journals/kantian-review/article/is-the-categorical-imperative-the-highest-principle-of-both-pure-practical-and-theoretical-reason/346648C25C8C67C75BCEF645C6823D9C
G Agbude,,"… Between these two divides, this paper attempts to contribute robustly to this perennial 
dialogue by interjecting Kant’s categorical imperative in pursuing the argument that though profit …",Kant's Categorical Imperative and the'Business' of Profit Maximization: The Quest for Service Paradigm,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3549929
B Keintzel,,"… In my view, Kant's second formulation of the categorical imperative becomes clearer if we 
consider instrumentalizing as a semantic extension of killing. ""Thou shalt not kill"" and thou …",The Other as Categorical Imperative: Levinas's Reading of Kant,https://muse.jhu.edu/pub/305/article/800590/summary
EE Kucuk,,"… In this paper, we propose an ethical framework for social VR based on Kant’s Theory of 
Morality. In so doing, we argue that the Kantian concept of categorical imperative does apply to …",Is “Categorical Imperative” Metaversal?: A Kantian Ethical Framework for Social Virtual Reality,https://dl.acm.org/doi/abs/10.1145/3544549.3585911
D Copp,,"… Kant saw the problem, to show how it arose in the context of his moral philosophy, and to 
explain his attempt to solve it. I shall explore Kant's … theory in the work of Kant, but to discourage …","The"" Possibility"" of a Categorical Imperative: Kant's Groundwork, Part III",https://www.jstor.org/stable/2214248
"CB Laustsen, R Ugilt",,"… moral philosophy, the first being the problem of how reason is able to become actualized 
in the phenomenal world once we have accepted that the categorical imperative is the …",Eichmann's Kant,https://www.jstor.org/stable/25670660
L White Beck - 1958 - degruyter.com,,"… that by establishing a categorical imperative a moral imperative is established. But Kant, in 
… We are now prepared to trace Kant's derivation of the formula of a categorical imperative …",Apodictic imperatives,https://www.degruyter.com/document/doi/10.1515/kant.1958.49.1-4.7/html
D Misselbrook,,"… Kant’s second formulation of the categorical imperative is to ‘So act as to treat humanity, … 
The ethos of medicine is generally Kantian: who would deny that a doctor has duties? The GMC …","Duty, Kant, and deontology",https://bjgp.org/content/63/609/211.short
SL Darwall,,"… is implicit in some of Kant's remarks also. One instance occurs in his discussion of the third 
example following the initial formulation of the categorical imperative in the Foundations of …",A defense of the Kantian interpretation,https://www.journals.uchicago.edu/doi/pdf/10.1086/291990
I Snir,,"… Adorno’s use of the Kantian idiom of the categorical imperative, I suggest, should be understood 
as implying a perfect duty that tolerates no exceptions. It specifically commands the duty …",The “new categorical imperative” and Adorno's aporetic moral philosophy,https://link.springer.com/article/10.1007/s11007-010-9151-8
U Knappe - 2004 - degruyter.com,,"… the categorical imperative which is crucial in the conception of the ethical according to Kant 
and … The categorical imperative is an abstract unconditional law which represents reason as …",Theory and practice in Kant and Kierkegaard,https://www.degruyter.com/document/doi/10.1515/9783110200904.bm/html
M Düwell,,"… Thirdly, we state what we consider Kant does in order to justify the categorical imperative, 
which is preliminary to our presentation of how we think he does this in Chapter Two. Fourthly, …",The Sole Fact of Pure Reason: Kant's Quasi-Ontological Argument for the Categorical Imperative,https://books.google.com/books?hl=en&lr=&id=s_UEEAAAQBAJ&oi=fnd&pg=PP5&dq=kant+categorical+imperative+&ots=8zU7H4Mqkw&sig=Etmk8Oy6JWxWqZCAiUHDiPPlNls
SIG Agaton,,"… This paper argues that Kant’s categorical imperative is the most appropriate moral theory 
to use in assessing the different acts of kindness and helpfulness that people have extended. …",The Kantian categorical imperative and Marawi refugees: Affirming the importance of the Anti-Terrorism Law.,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=20867050&AN=159649548&h=3shiFL%2F8B9PGfxdDA%2Ft7%2Bbk2sxY1pjDtPuzixD2Nicp0BPKBVFo05uHzXAvDx1BLiEtaEhxmtssB6b1q0fYXdQ%3D%3D&crl=c
CM Korsgaard,,"… In summarizing these arguments, Kant teils us that … supposed that Kant's claim that the 
categorical imperative is a … by ignoring the fact that the Categorical Imperative ist not ""deduced"" in …",Kant's formula of humanity,https://www.degruyter.com/document/doi/10.1515/kant.1986.77.1-4.183/html
J Marina,,"… Kant's derivation of the formula of a categorical imperative. Bruce Aune1 and Allen Wood2 
have both called attention to a ""gap"" in Kant's … If such a gap exists, then Kant cannot move …",Kant's derivation of the formula of the categorical imperative: how to get it right,https://www.degruyter.com/document/doi/10.1515/kant.1998.89.2.167/html
W Desmond,,"… AIusTOTLE'S phronesis and Kant's categorical imperative present … Kant's categorical 
imperative is perhaps the most radical … The issue here is not whether Kant recognizes such a thing …",Phronesis and the categorical imperative,https://www.pdcnet.org/philstudies/content/philstudies_1980_0027_0007_0015
G Scarre,,"… Kant's Categorical Imperative - 'Act only on that maxim by which you can at the same time 
will that it should become a universal law' - has attracted more philosophical attention than …",Interpreting the categorical imperative,https://www.tandfonline.com/doi/pdf/10.1080/09608788808570992
NT Potter Jr - 1998 - digitalcommons.unl.edu,,"… Now that we have presented the outline of Kant's views on punishment, emphasizing 
how they are derived from the categorical imperative, we will pursue some related topics. …",The principle of punishment is a categorical imperative,https://digitalcommons.unl.edu/philosfacpub/22/
P Guyer,,"… Kant's stated reason for introducing the concept and Formula of … in accordance with the 
categorical imperative by introducing a concep… In what fc)llows, I will ~lllalvze each of Kant's three …",The Derivation of the Categorical Imperative: Kant's Correction for a Fatal Flaw,http://www.pdcnet.org/pdc/bvdb.nsf/showfreearticle?open&url=/8525737F00588A37/file/AD4E0C180708E7E0852575CF0062E35E/$FILE/harvardreview_2002_0010_0001_0064_0080.pdf
J Cameron,,"… This article offers Kant's categorical imperative as a foundation on which a rigorous … 
which the Kantian imperative not to be coerced and deceived is developed into modified (m-Kantian) …",Kant's categorical imperative as a foundation for development studies and action,https://www.tandfonline.com/doi/abs/10.1080/09578819908426737
A Melnick - 2002 - degruyter.com,,"… Kant’s second formulation of the categorical imperative … Kant it becomes the crucial issue 
in validating a categorical … , Kant says that if we are to formulate a categorical imperative …",Kants Formulations of the Categorical Imperative,https://www.degruyter.com/document/doi/10.1515/kant.2002.010/html
P Foot,,"… to Kant's hypothetical and categorical imperatives, and we … moral judgments are categorical 
imperatives but the relative … the defenders of the categorical imperative would like to admit. …",Morality as a system of hypothetical imperatives,https://www.jstor.org/stable/2184328
M Walker - 2011 - books.google.com,,"… In fact I remain unconvinced that Kant himself regarded anything in Groundwork II as 
constituting any sort of potentially self-standing justification of the categorical imperative, so …","Kant, Schopenhauer and morality: recovering the categorical imperative",https://books.google.com/books?hl=en&lr=&id=tZR_DAAAQBAJ&oi=fnd&pg=PP1&dq=kant+categorical+imperative+&ots=jvsEptt3_y&sig=4Af-w6_kzcrtuWQYTQ_v0D5-JXU
M Nance,,"… as a specification of the Categorical Imperative. I develop this point by means of an analogy 
with Kant’s discussion of the moral law and the Categorical Imperative in the Groundwork. …",Kantian right and the categorical imperative: Response to Willaschek,https://www.tandfonline.com/doi/abs/10.1080/09672559.2012.668921
I Geiger,,"… I think that the ‘universal formula of the categorical imperative’ Kant here refers to is the FUL, 
which he explicitly characterizes earlier as ‘the canon of moral appraisal of action in general…",What is the use of the universal law formula of the categorical imperative?,https://www.tandfonline.com/doi/full/10.1080/09608781003643568
JS Johnston,,"… I develop an argument as to why we should read Kant as making education … Categorical 
Imperative. Here, I make a number of claims. (1) That Kant’s talk of the Categorical Imperative …",The education of the categorical imperative,https://link.springer.com/article/10.1007/s11217-006-9006-2
HE Allison,,"… in the gap in Kant's derivation of the categorical imperative. … be from duty alone, which Kant 
takes to mean that they must … is in Kant's attempt to show that the categorical imperative is the …",On a presumed gap in the derivation of the categorical imperative,https://www.jstor.org/stable/43154087
SS Sedgwick,,"… of Kant's categorical imperative and his critique of Kant's idealism … Typically, commentators 
defending Kant's ethics against … categorical imperative and in additi on incorrectly imputes to …",Hegel's Critique of Kant's Empiricism and the Categorical Imperative,https://www.jstor.org/stable/20483820
A Reath,,"… I will now argue that such a view underlies Kant's derivation of the Categorical Imperative, 
and offers the best understanding of the connection that he draws between moral principles …",The Categorical Imperative and Kant's Conception of Practical Rationality,https://www.jstor.org/stable/27903147
J Baker - 1988 - degruyter.com,,"… is recommended to us äs The Categorical Imperative.It is true that Kant claims that these are 
… injunctions introduced or referred to by Kant äs ""The Categorical Imperative."" HJ Paton, The …",Counting Categorical Imperatives,https://www.degruyter.com/document/doi/10.1515/kant.1988.79.1-4.389/html
C Hanisch,,"… agree that Kant’s Categorical Imperative transcends the … Categorical Imperative enables 
action and is enabled by action. The Categorical Imperative (as distinct from specific categorical …",The Categorical Imperative in Action: Enabler and Enablee of Self-Legislation,https://link.springer.com/article/10.1007/s11406-023-00637-w
N Potter,,"… the categorical imperative — is not successful. I shall show, (1) that if Paton's Interpretation 
were an accurate account of Kant's views on this topic, then the categorical imperative… of Kant. …",Paton on the Application of the Categorical Imperative,https://www.degruyter.com/document/doi/10.1515/kant.1973.64.1-4.411/html
O Höffe,,"… If there is a categorical imperative of Law, these distinctions … of the categorical imperative: a 
general categorical imperative … general concept of the categorical imperative to the two basic …",Kant's principle of justice as categorical imperative of law,https://link.springer.com/chapter/10.1007/978-94-017-2016-8_9
G Azenabor,,"… ethics and Kant’s categorical imperative in Western ethics as tools of comparative analysis. 
… favorably with Immanuel Kant’s whose main thrust is found in his “Categorical Imperative”, …",The Golden Rule Principle in an African Ethics and Kant's Categorical Imperative: A Comparative Study on the Foundation of Morality,https://www.sid.ir/EN/VEWSSID/J_pdf/132620081403.pdf
P Stratton-Lake - 1993 - degruyter.com,,"… Kant to be content with one formulation of the categorical … are three formulations of the 
categorical imperative, and for an … to make sense of all three of Kant's descriptions of this relation. …",Formulating categorical imperatives,https://www.degruyter.com/document/doi/10.1515/kant.1993.84.3.317/html
M Timmons - 1984 - degruyter.com,,"… We are guided in this specification by two requirements: (Rl) Since Kant views the categorical 
imperative äs the sole moral principle8 to be used to judge our actions, it is not permissible …",Contradictions and the Categorical Imperative,https://www.degruyter.com/document/doi/10.1515/agph.1984.66.3.294/html
"P Jaarsma, P Gelhaus, S Welin",,"… , like neurotypicals, contrary to Kant, sometimes do. Persons with Autism do not need the 
categorical imperative as a law; they live it. Footnote 14 From a Kantian perspective, this is not …",Living the categorical imperative: autistic perspectives on lying and truth telling–between Kant and care ethics,https://link.springer.com/article/10.1007/s11019-011-9363-7
S Guthrie,,"… Kant's working definition of his concept of morality. In addition, a portion of Kant's work, Good 
Will, Duty, and the Categorical Imperative … For Kant, the central radix of morality concerns …",Immanuel kant and the categorical imperative,https://www.academia.edu/download/50789667/Immanuel_Kant_and_the_Categorical_Imperative.pdf
J Ebbinghaus,,"… The law formulated by Kant in his categorical imperative is not one by which any principle 
whatever to which a man may find himself drawn under conditions of experience-such as …",Interpretation and misinterpretation of the categorical imperative,https://www.jstor.org/stable/2216381
M Yudanin,,"… Kant’s Formula of Universal Law. In order to examine the validity of this thesis, I will analyze 
Kant… duties from the first formulation of the categorical imperative. The focus will be on the …",Can positive duties be derived from Kant's categorical imperative?,https://link.springer.com/article/10.1007/s10677-014-9546-4
J White,,"… of a Kantian moral agent without violating Kantian moral … constrained by Kant's categorical 
imperative and motivated … creating Kantian AMAs, we violate the categorical imperative …","Autonomous Reboot: Kant, the categorical imperative, and contemporary challenges for machine ethicists",https://link.springer.com/article/10.1007/s00146-020-01142-4
J Bessant,,"… I argue for use of the categorical imperative as an over arching … The categorical imperative 
ensures that unfair, discriminatory … Enacting Kant's categorical imperative as a principle would …",Principles for developing youth policy: Kant's Categorical Imperative and Developmental Ethics,https://www.tandfonline.com/doi/abs/10.1080/01442870500042031
